iter	Passed	Remaining
401	14267	21223
402	14313	21203
403	14355	21177
404	14397	21151
405	14440	21127
406	14482	21100
407	14511	21055
408	14548	21022
409	14585	20988
410	14626	20960
411	14656	20917
412	14696	20888
413	14733	20855
414	14767	20817
415	14804	20783
416	14853	20766
417	14883	20723
418	14917	20684
419	14954	20651
420	14987	20612
421	15015	20566
422	15047	20525
423	15082	20490
424	15114	20448
425	15151	20415
426	15197	20393
427	15231	20355
428	15262	20313
429	15305	20288
430	15348	20262
431	15389	20234
432	15429	20204
433	15472	20178
434	15509	20144
435	15546	20111
436	15592	20087
437	15633	20059
438	15668	20023
439	15708	19993
440	15754	19969
441	15798	19944
442	15837	19913
443	15879	19885
444	15922	19858
445	15960	19825
446	16001	19795
447	16039	19763
448	16079	19731
449	16120	19703
450	16158	19669
451	16199	19640
452	16243	19613
453	16327	19636
454	16400	19643
455	16463	19640
456	16513	19621
457	16559	19596
458	16601	19567
459	16659	19557
460	16712	19540
461	16762	19519
462	16813	19501
463	16856	19472
464	16906	19451
465	16959	19434
466	17007	19410
467	17068	19402
468	17112	19374
469	17161	19352
470	17207	19326
471	17248	19295
472	17296	19271
473	17346	19249
474	17390	19220
475	17435	19193
476	17474	19159
477	17509	19121
478	17536	19073
479	17569	19033
480	17614	19005
481	17662	18981
482	17704	18950
483	17741	18914
484	17773	18872
485	17804	18830
486	17843	18796
487	17885	18765
488	17922	18728
489	17962	18695
490	18007	18667
491	18045	18632
492	18089	18603
493	18128	18568
494	18170	18537
495	18209	18503
496	18250	18471
497	18287	18434
498	18327	18401
499	18364	18364
500	18403	18329
501	18442	18295
502	18485	18265
503	18537	18243
504	18587	18219
505	18644	18202
506	18693	18177
507	18745	18155
508	18797	18132
509	18839	18100
510	18887	18074
511	18928	18041
512	18989	18027
513	19038	18001
514	19081	17970
515	19119	17933
516	19163	17903
517	19200	17866
518	19239	17830
519	19274	17791
520	19309	17752
521	19346	17715
522	19380	17676
523	19414	17636
524	19450	17598
525	19490	17563
526	19522	17522
527	19552	17478
528	19577	17431
529	19620	17399
530	19660	17364
531	19698	17328
532	19736	17292
533	19774	17256
534	19817	17224
535	19859	17191
536	19896	17154
537	19935	17119
538	19977	17086
539	20020	17054
540	20063	17022
541	20099	16984
542	20138	16948
543	20177	16913
544	20218	16879
545	20261	16847
546	20303	16814
547	20339	16776
548	20376	16739
549	20409	16699
550	20443	16658
551	20480	16622
552	20513	16581
553	20549	16543
554	20575	16497
555	20610	16458
556	20641	16416
557	20673	16375
558	20711	16339
559	20750	16303
560	20785	16265
561	20818	16225
562	20848	16182
563	20882	16142
564	20923	16109
565	20975	16083
566	21016	16049
567	21064	16020
568	21097	15980
569	21148	15953
570	21196	15925
571	21242	15895
572	21292	15867
573	21345	15841
574	21389	15809
575	21424	15771
576	21466	15736
577	21501	15698
578	21537	15660
579	21577	15625
580	21611	15585
581	21648	15548
582	21688	15513
583	21726	15476
584	21776	15448
585	21804	15404
586	21841	15367
587	21884	15333
588	21916	15293
589	21952	15255
590	21988	15216
591	22022	15177
592	22061	15141
593	22090	15098
594	22119	15056
595	22149	15013
596	22189	14978
597	22231	14944
598	22272	14910
599	22312	14875
600	22349	14837
601	22382	14797
602	22417	14758
603	22448	14717
604	22479	14676
605	22512	14637
606	22544	14596
607	22578	14556
608	22607	14514
609	22634	14471
610	22667	14431
611	22709	14397
612	22748	14361
613	22787	14325
614	22836	14295
615	22881	14263
616	22927	14232
617	22964	14194
618	23012	14164
619	23058	14132
620	23105	14101
621	23134	14059
622	23172	14022
623	23207	13984
624	23246	13947
625	23285	13911
626	23325	13876
627	23368	13842
628	23417	13812
629	23456	13775
630	23487	13735
631	23520	13695
632	23555	13657
633	23594	13620
634	23622	13578
635	23649	13535
636	23687	13498
637	23726	13462
638	23765	13426
639	23813	13394
640	23850	13357
641	23888	13321
642	23925	13283
643	23967	13248
644	24000	13209
645	24033	13170
646	24065	13130
647	24098	13090
648	24131	13050
649	24171	13015
650	24203	12975
651	24239	12937
652	24275	12899
653	24316	12864
654	24361	12831
655	24406	12798
656	24444	12761
657	24483	12725
658	24524	12690
659	24559	12652
660	24599	12615
661	24625	12573
662	24655	12532
663	24695	12496
664	24730	12458
665	24768	12421
666	24808	12385
667	24860	12355
668	24897	12318
669	24936	12282
670	24974	12245
671	25016	12210
672	25055	12174
673	25095	12138
674	25128	12098
675	25160	12059
676	25191	12019
677	25226	11980
678	25268	11945
679	25313	11912
680	25356	11877
681	25387	11837
682	25419	11797
683	25449	11757
684	25487	11720
685	25522	11682
686	25564	11647
687	25599	11609
688	25632	11570
689	25669	11532
690	25706	11495
691	25741	11457
692	25782	11421
693	25823	11386
694	25860	11348
695	25895	11310
696	25936	11275
697	25975	11238
698	26014	11202
699	26058	11167
700	26103	11134
701	26148	11099
702	26198	11068
703	26246	11035
704	26297	11003
705	26338	10968
706	26391	10937
707	26424	10898
708	26458	10859
709	26490	10820
710	26531	10784
711	26586	10753
712	26625	10717
713	26653	10676
714	26689	10638
715	26731	10602
716	26771	10566
717	26820	10534
718	26877	10504
719	26928	10472
720	26965	10434
721	27009	10399
722	27064	10369
723	27105	10333
724	27139	10294
725	27167	10253
726	27205	10216
727	27240	10177
728	27278	10140
729	27316	10103
730	27348	10063
731	27386	10026
732	27420	9988
733	27453	9949
734	27488	9910
735	27522	9872
736	27556	9833
737	27610	9802
738	27649	9765
739	27682	9726
740	27718	9688
741	27749	9648
742	27786	9611
743	27821	9572
744	27853	9533
745	27897	9498
746	27926	9458
747	27958	9419
748	27991	9380
749	28027	9342
750	28072	9307
751	28109	9270
752	28146	9232
753	28170	9191
754	28208	9153
755	28243	9115
756	28272	9075
757	28308	9037
758	28346	9000
759	28381	8962
760	28413	8923
761	28445	8884
762	28480	8846
763	28515	8808
764	28553	8771
765	28589	8733
766	28631	8697
767	28665	8659
768	28691	8618
769	28722	8579
770	28759	8541
771	28789	8502
772	28822	8464
773	28853	8424
774	28888	8387
775	28920	8348
776	28951	8309
777	28981	8269
778	29018	8232
779	29047	8192
780	29091	8157
781	29129	8120
782	29168	8083
783	29199	8044
784	29237	8007
785	29272	7969
786	29303	7931
787	29339	7893
788	29375	7855
789	29416	7819
790	29456	7783
791	29493	7745
792	29528	7707
793	29571	7672
794	29612	7635
795	29650	7598
796	29686	7561
797	29716	7522
798	29753	7484
799	29789	7447
800	29828	7410
801	29860	7371
802	29890	7333
803	29921	7294
804	29953	7255
805	29992	7219
806	30026	7180
807	30057	7142
808	30091	7104
809	30131	7067
810	30170	7031
811	30207	6993
812	30236	6954
813	30276	6918
814	30313	6880
815	30346	6842
816	30379	6804
817	30413	6766
818	30448	6729
819	30483	6691
820	30514	6652
821	30553	6616
822	30584	6577
823	30621	6540
824	30661	6503
825	30695	6466
826	30723	6427
827	30758	6389
828	30787	6350
829	30818	6312
830	30850	6274
831	30882	6235
832	30915	6197
833	30944	6159
834	30975	6120
835	31012	6083
836	31046	6046
837	31077	6007
838	31117	5971
839	31159	5935
840	31201	5898
841	31231	5860
842	31262	5822
843	31295	5784
844	31333	5747
845	31373	5711
846	31416	5675
847	31462	5639
848	31516	5605
849	31566	5570
850	31614	5535
851	31663	5500
852	31705	5463
853	31754	5428
854	31795	5392
855	31842	5356
856	31899	5322
857	31943	5286
858	31995	5251
859	32040	5215
860	32085	5179
861	32147	5146
862	32196	5111
863	32247	5075
864	32292	5039
865	32360	5007
866	32418	4973
867	32459	4936
868	32496	4898
869	32530	4860
870	32563	4822
871	32599	4785
872	32637	4747
873	32675	4710
874	32709	4672
875	32740	4634
876	32778	4597
877	32810	4559
878	32841	4520
879	32876	4483
880	32909	4445
